Windows Server 2016,4022715,10816,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2016  (Server Core installation),4022715,10855,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows 10 for x64-based Systems,4022727,10735,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows 10 Version 1511 for x64-based Systems,4022714,10788,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows 10 Version 1607 for x64-based Systems,4022715,10853,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4022719,10048,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4022722,10048,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows 8.1 for x64-based systems,4022726,10482,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows 8.1 for x64-based systems,4022717,10482,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2008 for x64-based Systems Service Pack 2,3217845,9318,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),3217845,9344,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1,4022719,10051,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1,4022722,10051,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),4022719,10049,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),4022722,10049,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2012,4022724,10378,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2012,4022718,10378,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2012 (Server Core installation),4022724,10379,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2012 (Server Core installation),4022718,10379,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2012 R2,4022726,10483,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2012 R2,4022717,10483,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2012 R2 (Server Core installation),4022726,10543,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Windows Server 2012 R2 (Server Core installation),4022717,10543,CVE-2017-0193,Hypervisor Code Integrity Elevation of Privilege Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4022715,10724-10852,CVE-2017-8496,Microsoft Edge Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4022715,10724-10853,CVE-2017-8496,Microsoft Edge Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4022715,10724-10816,CVE-2017-8496,Microsoft Edge Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4022715,10724-10852,CVE-2017-8497,Microsoft Edge Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4022715,10724-10853,CVE-2017-8497,Microsoft Edge Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4022715,10724-10816,CVE-2017-8497,Microsoft Edge Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems,4022715,10724-10852,CVE-2017-8498,Microsoft Edge Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems,4022715,10724-10853,CVE-2017-8498,Microsoft Edge Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows Server 2016,4022715,10724-10816,CVE-2017-8498,Microsoft Edge Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4022725,10724-10951,CVE-2017-8498,Microsoft Edge Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4022725,10724-10952,CVE-2017-8498,Microsoft Edge Information Disclosure Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems,4022725,10724-10951,CVE-2017-8499,Microsoft Edge Memory Corruption Vulnerability
Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems,4022725,10724-10952,CVE-2017-8499,Microsoft Edge Memory Corruption Vulnerability
Microsoft SharePoint Enterprise Server 2013 Service Pack 1,3203430,11099,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft SharePoint Enterprise Server 2016,3203432,10950,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2007 Service Pack 3,3203441,10162,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2010 Service Pack 2 (32-bit editions),3203464,10513,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2010 Service Pack 2 (64-bit editions),3203464,10514,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2013 RT Service Pack 1,3203393,10606,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2013 Service Pack 1 (32-bit editions),3203393,10604,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2013 Service Pack 1 (64-bit editions),3203393,10605,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2016 (32-bit edition),3191945,10746,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2016 (64-bit edition),3191945,10747,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word 2016 for Mac,Release Notes,10670,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Word for Mac 2011,3212223,10025,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2007 Service Pack 3,3203436,10150,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2010 Service Pack 2 (32-bit editions),3203463,10521,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2010 Service Pack 2 (32-bit editions),3118389,10521,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2010 Service Pack 2 (32-bit editions),3203460,10521,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2010 Service Pack 2 (32-bit editions),3191908,10521,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2010 Service Pack 2 (64-bit editions),3203463,10522,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2010 Service Pack 2 (64-bit editions),3118389,10522,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2010 Service Pack 2 (64-bit editions),3203460,10522,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2010 Service Pack 2 (64-bit editions),3191908,10522,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2013 Service Pack 1 (32-bit editions),3162051,10601,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2013 Service Pack 1 (32-bit editions),3203386,10601,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2013 Service Pack 1 (64-bit editions),3162051,10602,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2013 Service Pack 1 (64-bit editions),3203386,10602,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
Microsoft Office 2016 (32-bit edition),3178667,10753,CVE-2017-8509,Microsoft Office Remote Code Execution Vulnerability
