Windows 10 for 32-bit Systems,3192440,10729,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 10 for x64-based Systems,3192440,10735,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 10 Version 1511 for 32-bit Systems,3192441,10789,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 10 Version 1511 for x64-based Systems,3192441,10788,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 10 Version 1607 for 32-bit Systems,3194798,10852,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 10 Version 1607 for x64-based Systems,3194798,10853,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,3185330,10047,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,3192391,10047,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 7 for x64-based Systems Service Pack 1,3185330,10048,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 7 for x64-based Systems Service Pack 1,3192391,10048,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,3185331,10481,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 8.1 for 32-bit systems,3192392,10481,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 8.1 for x64-based systems,3185331,10482,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows 8.1 for x64-based systems,3192392,10482,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows RT 8.1,3185331,10484,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows Vista Service Pack 2,3190847,4393,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Windows Vista x64 Edition Service Pack 2,3190847,9316,CVE-2016-0142,Microsoft Video Control Remote Code Execution Vulnerability
Internet Explorer 9 on Windows Vista Service Pack 2,3191492,10336-4393,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 9 on Windows Server 2008 for 32-bit Systems Service Pack 2,3191492,10336-9312,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 9 on Windows Vista x64 Edition Service Pack 2,3191492,10336-9316,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 9 on Windows Server 2008 for x64-based Systems Service Pack 2,3191492,10336-9318,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,3185330,10486-10047,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1,3192391,10486-10047,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,3185330,10486-10048,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1,3192391,10486-10048,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,3185330,10486-10051,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1,3192391,10486-10051,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 10 on Windows Server 2012,3185332,10555-10378,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 10 on Windows Server 2012,3192393,10555-10378,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,3185331,10486-10481,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for 32-bit systems,3192392,10486-10481,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,3185331,10486-10482,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
Internet Explorer 11 on Windows 8.1 for x64-based systems,3192392,10486-10482,CVE-2016-3267,Microsoft Browser Information Disclosure Vulnerability
