Microsoft Exchange Server 2016,4099852,11526,ADV180010,June 2018 Oracle Outside In Library Security Update
Microsoft Exchange Server 2010 Service Pack 3,4295699,10476,ADV180010,June 2018 Oracle Outside In Library Security Update
Microsoft Exchange Server 2013,4099855,10431,ADV180010,June 2018 Oracle Outside In Library Security Update
Windows 10 Version 1709 for 32-bit Systems,4284819,11453,CVE-2018-8175,WEBDAV Denial of Service Vulnerability
Windows 10 Version 1709 for x64-based Systems,4284819,11454,CVE-2018-8175,WEBDAV Denial of Service Vulnerability
Windows Server, version 1709  (Server Core Installation),4284819,11466,CVE-2018-8175,WEBDAV Denial of Service Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4284835,11497,CVE-2018-8175,WEBDAV Denial of Service Vulnerability
Windows 10 Version 1803 for x64-based Systems,4284835,11498,CVE-2018-8175,WEBDAV Denial of Service Vulnerability
Windows Server, version 1803  (Server Core Installation),4284835,11499,CVE-2018-8175,WEBDAV Denial of Service Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4284835,11497,CVE-2018-8140,Cortana Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4284835,11498,CVE-2018-8140,Cortana Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4284835,11499,CVE-2018-8140,Cortana Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4284819,11453,CVE-2018-8140,Cortana Elevation of Privilege Vulnerability
Windows 10 Version 1709 for x64-based Systems,4284819,11454,CVE-2018-8140,Cortana Elevation of Privilege Vulnerability
Windows Server, version 1709  (Server Core Installation),4284819,11466,CVE-2018-8140,Cortana Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4284835,11497,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 Version 1803 for x64-based Systems,4284835,11498,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 Version 1703 for 32-bit Systems,4284874,10951,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 Version 1703 for x64-based Systems,4284874,10952,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4284819,11453,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 Version 1709 for x64-based Systems,4284819,11454,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows Server, version 1709  (Server Core Installation),4284819,11466,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 for 32-bit Systems,4284860,10729,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 for x64-based Systems,4284860,10735,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4284880,10852,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 Version 1607 for x64-based Systems,4284880,10853,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows Server 2016,4284880,10816,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows Server 2016  (Server Core installation),4284880,10855,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows Server, version 1803  (Server Core Installation),4284835,11499,CVE-2018-8201,Device Guard Code Integrity Policy Security Feature Bypass Vulnerability
Windows 10 Version 1703 for 32-bit Systems,4284874,10951,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 10 Version 1703 for x64-based Systems,4284874,10952,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4284819,11453,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 10 Version 1709 for x64-based Systems,4284819,11454,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows Server, version 1709  (Server Core Installation),4284819,11466,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 10 for 32-bit Systems,4284860,10729,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 10 for x64-based Systems,4284860,10735,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4284880,10852,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 10 Version 1607 for x64-based Systems,4284880,10853,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows Server 2016,4284880,10816,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows Server 2016  (Server Core installation),4284880,10855,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4284826,10047,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4284867,10047,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4284826,10048,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4284867,10048,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 8.1 for 32-bit systems,4284815,10481,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 8.1 for 32-bit systems,4284878,10481,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 8.1 for x64-based systems,4284815,10482,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows 8.1 for x64-based systems,4284878,10482,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows RT 8.1,4284815,10484,CVE-2018-8205,Windows Denial of Service Vulnerability
Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,4284826,10050,CVE-2018-8205,Windows Denial of Service Vulnerability
