Microsoft 365 Apps for Enterprise for 64-bit Systems,Click to Run,11763,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Office 2019 for 32-bit editions,Click to Run,11573,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Office 2019 for 64-bit editions,Click to Run,11574,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Office 2019 for Mac,Release Notes,11575,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Excel 2016 (32-bit edition),4484338,10739,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Excel 2016 (64-bit edition),4484338,10740,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Office 2016 for Mac,Release Notes,10734,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Excel 2010 Service Pack 2 (32-bit editions),4484384,10489,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Excel 2010 Service Pack 2 (64-bit editions),4484384,10490,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Excel 2013 RT Service Pack 1,4484365,10656,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Excel 2013 Service Pack 1 (32-bit editions),4484365,10654,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft Excel 2013 Service Pack 1 (64-bit editions),4484365,10655,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Microsoft 365 Apps for Enterprise for 32-bit Systems,Click to Run,11762,CVE-2020-0901,Microsoft Excel Remote Code Execution Vulnerability
Windows 10 Version 1803 for x64-based Systems,4556807,11498,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows Server, version 1803  (Server Core Installation),4556807,11499,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1809 for x64-based Systems,4551853,11569,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1809 for x64-based Systems,4551853,11569,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows Server 2019,4551853,11571,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows Server 2019,4551853,11571,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows Server 2019  (Server Core installation),4551853,11572,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows Server 2019  (Server Core installation),4551853,11572,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1709 for x64-based Systems,4556812,11454,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1903 for x64-based Systems,4556799,11645,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows Server, version 1903 (Server Core installation),4556799,11647,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows 10 for x64-based Systems,4556826,10735,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1607 for x64-based Systems,4556813,10853,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows 10 Version 1607 for x64-based Systems,4556813,10853,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
Windows Server 2016,4556813,10816,CVE-2020-0909,Windows Hyper-V Denial of Service Vulnerability
